Price,Mileage,Make
16428.57898,9882,Chevrolet
26841.08084,10003,SAAB
12146.18803,10011,Chevrolet
25098.62906,10014,Buick
27825.94997,10014,SAAB
20099.25684,10036,Buick
17322.0784,10102,Saturn
13681.698,10210,Chevrolet
12408.80615,10213,Chevrolet
21335.85248,10237,Buick
20452.66947,10338,Pontiac
35622.1395,10340,SAAB
19177.41206,10414,Chevrolet
35651.68002,10555,Cadillac
16256.23617,10555,Saturn
23785.92253,10577,Buick
30957.08075,10625,Cadillac
39092.18992,10717,Chevrolet
30274.71058,10800,SAAB
32219.58928,10915,Pontiac
17978.357,10986,Saturn
31431.13037,11013,Cadillac
21607.77257,11069,Pontiac
11318.00809,11156,Chevrolet
20677.59382,11204,Pontiac
22311.04951,11221,Pontiac
21230.97799,11229,Pontiac
30353.58555,11273,SAAB
14198.09246,11322,Chevrolet
17463.04608,11393,Chevrolet
14678.10533,11488,Chevrolet
19682.03501,11554,Pontiac
39365.88324,11619,Chevrolet
18040.14401,11647,Chevrolet
14202.99715,11836,Saturn
25452.47385,11892,Pontiac
35129.34077,11975,Cadillac
12409.94909,11981,Chevrolet
66374.30704,12021,Cadillac
26781.81465,12052,Buick
16792.67953,12071,Pontiac
38324.80908,12090,SAAB
12163.82042,12101,Chevrolet
44749.68679,12115,Chevrolet
34819.29712,12251,SAAB
17803.27909,12303,Pontiac
15047.00274,12305,Chevrolet
21875.09763,12313,Pontiac
22100.39317,12314,Pontiac
15194.97535,12412,Saturn
14841.91705,12420,Pontiac
23573.822,12466,Chevrolet
17214.32508,12610,Pontiac
21300.01945,12772,Pontiac
40856.3909,12791,Cadillac
14116.92151,12878,Saturn
15395.01087,12920,Saturn
14847.04415,12980,Chevrolet
26302.07428,13050,Buick
13160.12456,13145,Pontiac
38167.17358,13162,SAAB
16218.84786,13196,Buick
15077.17584,13262,Pontiac
13174.07101,13318,Saturn
11555.2674,13404,Chevrolet
35165.75937,13449,Cadillac
21725.01075,13457,Chevrolet
13041.874,13607,Chevrolet
31024.87211,13678,Pontiac
14023.93855,13776,Chevrolet
15128.99224,13828,Chevrolet
45061.95194,13829,Cadillac
38795.37909,13973,Cadillac
18727.50838,14054,Chevrolet
39801.55135,14095,Cadillac
19528.10043,14115,Chevrolet
10106.01643,14200,Chevrolet
13464.80288,14231,Chevrolet
16425.1748,14242,Saturn
30661.26015,14278,SAAB
27284.75133,14281,SAAB
15821.94972,14304,Pontiac
13072.84163,14311,Chevrolet
22926.09037,14363,Buick
14881.95545,14376,Saturn
10315.01823,14438,Chevrolet
41419.03726,14452,Cadillac
25097.47325,14461,Chevrolet
15000.99271,14504,Chevrolet
10354.04385,14521,Chevrolet
42773.02839,14546,Chevrolet
30122.42974,14568,SAAB
17218.68575,14579,Chevrolet
28416.46167,14613,SAAB
11302.90299,14627,Chevrolet
13167.70232,14630,Chevrolet
40335.73731,14743,Cadillac
18169.37548,14754,Chevrolet
22384.11869,14788,Chevrolet
15084.8154,14824,Chevrolet
30781.51563,14937,Cadillac
13258.36589,14938,Saturn
23527.7285,14948,Chevrolet
30443.8799,15050,SAAB
20538.08751,15066,Buick
31002.73442,15087,SAAB
44205.87588,15104,Cadillac
17458.22153,15144,Chevrolet
18009.84603,15190,Chevrolet
14072.13523,15233,Chevrolet
11700.11149,15253,Chevrolet
46747.67327,15343,Cadillac
22004.93044,15516,Pontiac
65281.48124,15600,Cadillac
23447.68656,15755,Buick
14619.07856,15768,Chevrolet
17685.20099,15898,Chevrolet
17162.47826,15903,Chevrolet
39307.00916,16041,Cadillac
26337.8306,16068,SAAB
16353.09652,16078,Pontiac
37383.50349,16088,SAAB
24809.04232,16111,Chevrolet
12791.75109,16163,Saturn
29595.79429,16193,Pontiac
30322.15057,16225,SAAB
16507.07027,16229,Saturn
23547.23944,16235,Buick
18273.00613,16335,Chevrolet
16336.91314,16342,Buick
18678.41412,16496,Pontiac
21895.75878,16508,Buick
10287.97736,16521,Chevrolet
18254.92277,16554,Pontiac
20512.09409,16633,Buick
26775.03209,16688,SAAB
38297.46254,16754,Cadillac
20537.14172,16950,Chevrolet
15277.06759,16951,Saturn
31849.30795,16956,SAAB
14255.74768,16958,Chevrolet
32649.76051,16975,SAAB
17891.63378,17020,Chevrolet
15977.91108,17053,Pontiac
30646.4377,17094,Cadillac
38600.23956,17138,Cadillac
12293.05996,17139,Saturn
15163.16986,17158,Chevrolet
13994.90646,17270,Chevrolet
23449.30633,17273,Pontiac
31153.00896,17317,SAAB
27060.13756,17319,SAAB
26190.27147,17335,Buick
21233.91136,17337,Chevrolet
13540.04164,17343,Chevrolet
21908.36662,17353,Buick
33381.81915,17381,SAAB
21281.88049,17417,Pontiac
25959.12203,17431,SAAB
18311.7563,17441,Chevrolet
14077.96885,17445,Chevrolet
16507.07027,17451,Chevrolet
25508.21096,17480,Buick
17986.22409,17488,Chevrolet
32501.24519,17508,Cadillac
20318.89097,17583,Pontiac
33358.76777,17590,SAAB
13830.24902,17594,Chevrolet
14702.79832,17656,Saturn
30959.93213,17673,SAAB
34355.00373,17711,SAAB
13446.21342,17741,Chevrolet
21956.34266,17787,Buick
12830.09878,17830,Pontiac
30792.14903,17870,Cadillac
16853.10785,17959,Pontiac
13678.863,17971,Chevrolet
20676.16551,18021,Chevrolet
13762.90145,18040,Chevrolet
16391.92657,18096,Pontiac
23016.00801,18147,Buick
31084.93761,18187,SAAB
36338.75133,18195,SAAB
19075.67875,18198,Chevrolet
63913.11725,18200,Cadillac
15568.97424,18206,Pontiac
14897.04055,18210,Chevrolet
13998.12928,18257,Saturn
17119.45757,18277,Chevrolet
15595.88413,18315,Pontiac
18145.12649,18339,Buick
16033.93062,18391,Pontiac
20127.04418,18419,Pontiac
30392.75016,18449,Cadillac
17553.75368,18451,Chevrolet
29986.7915,18464,SAAB
14568.00225,18511,Saturn
14275.12764,18533,Chevrolet
16752.5144,18562,Chevrolet
42377.95544,18581,Cadillac
17515.39759,18602,Chevrolet
38445.89717,18661,Cadillac
33220.02845,18661,Cadillac
17095.03522,18720,Pontiac
17173.94232,18721,Chevrolet
13688.00011,18766,Chevrolet
18004.87041,18771,Chevrolet
14593.8541,18790,Chevrolet
19409.75261,18795,Chevrolet
31156.59579,18805,SAAB
21273.06171,18908,Buick
23420.70695,18910,Buick
13471.00508,18910,Chevrolet
14508.75009,18910,Chevrolet
33586.90609,18930,SAAB
11615.02102,19014,Chevrolet
12828.03098,19081,Pontiac
16175.9576,19095,Saturn
37192.89637,19100,Cadillac
13122.90546,19101,Saturn
32737.08455,19112,SAAB
12045.9207,19136,Chevrolet
23578.16486,19148,Pontiac
9654.060142,19183,Chevrolet
12878.04683,19225,Pontiac
9563.789309,19273,Chevrolet
12327.64161,19347,Chevrolet
17801.22953,19386,Chevrolet
20830.9943,19419,Pontiac
15033.15032,19455,Saturn
12810.91058,19461,Chevrolet
16106.82722,19465,Pontiac
21460.01395,19467,Buick
17663.22495,19490,Chevrolet
16805.05739,19498,Chevrolet
13494.28878,19500,Saturn
22525.26972,19521,Pontiac
16551.21957,19531,Pontiac
19294.7875,19539,Pontiac
21646.11692,19562,Buick
9665.84886,19565,Chevrolet
25299.96964,19569,SAAB
17944.85692,19592,Buick
17316.0966,19593,Chevrolet
13961.11164,19602,Pontiac
12274.95758,19612,Chevrolet
11472.02276,19699,Chevrolet
12469.52758,19712,Chevrolet
12507.48527,19715,Chevrolet
16723.99388,19740,Chevrolet
19924.15905,19800,Buick
11699.03392,19816,Chevrolet
14418.16529,19818,Chevrolet
29908.18098,19830,SAAB
16339.17032,19832,Buick
12036.21675,19853,Saturn
28185.77625,19854,SAAB
18527.20897,19874,Chevrolet
16860.87078,19883,Chevrolet
17325.26954,19894,Pontiac
13141.04795,19898,Chevrolet
11215.01865,19945,Chevrolet
41371.37927,20000,Chevrolet
29961.25494,20015,SAAB
13308.83375,20043,Chevrolet
11017.16871,20100,Chevrolet
31554.40533,20103,SAAB
22661.04849,20105,Buick
21575.45683,20137,Buick
16646.7708,20154,Chevrolet
11031.12993,20156,Chevrolet
20952.2178,20158,Buick
11343.05401,20186,Chevrolet
16456.97464,20200,Chevrolet
25618.28188,20208,SAAB
12981.95203,20309,Chevrolet
11096.85727,20334,Chevrolet
14185.02155,20374,Chevrolet
23493.0823,20453,Buick
21982.64771,20472,Pontiac
15731.1329,20484,Saturn
19751.04143,20510,Pontiac
14145.88099,20512,Chevrolet
13436.00015,20530,Chevrolet
41671.58314,20575,Cadillac
12832.46239,20618,Pontiac
13594.08559,20682,Chevrolet
28328.26654,20685,SAAB
16516.95555,20751,Pontiac
20627.66169,20770,Pontiac
17162.87344,20829,Pontiac
9720.97889,20836,Chevrolet
18548.97859,20870,Pontiac
29197.7913,20907,SAAB
32509.47829,20910,Cadillac
15253.86857,20917,Pontiac
33540.53611,20925,SAAB
10805.13009,21013,Chevrolet
13991.04006,21020,Saturn
28817.08185,21039,Cadillac
29275.20871,21056,Cadillac
17844.73077,21121,Pontiac
14304.74104,21128,Chevrolet
19646.71748,21132,Pontiac
13161.94283,21145,Chevrolet
25790.51414,21160,SAAB
35580.33231,21167,SAAB
14191.88228,21181,Chevrolet
31970.54208,21208,SAAB
20173.90633,21211,Pontiac
24896.5976,21266,SAAB
15623.91976,21272,Chevrolet
35304.4947,21293,SAAB
16391.17171,21304,Pontiac
15589.78048,21307,Pontiac
44130.61706,21341,Cadillac
35261.43643,21350,Chevrolet
44084.91421,21367,Cadillac
12733.85792,21386,Chevrolet
15730.04627,21391,Pontiac
21183.12359,21394,Buick
17158.922,21417,Chevrolet
29664.70269,21418,Pontiac
17312.90715,21420,Chevrolet
11391.21372,21421,Chevrolet
11247.86253,21427,Chevrolet
25996.8064,21433,SAAB
16267.09489,21452,Chevrolet
15802.65286,21461,Pontiac
12257.16409,21492,Chevrolet
18912.9816,21512,Chevrolet
11574.17381,21525,Chevrolet
14401.90693,21527,Chevrolet
29321.08251,21545,SAAB
17154.57646,21567,Chevrolet
37510.25357,21593,Cadillac
13688.94568,21611,Chevrolet
23274.48071,21616,SAAB
14175.87908,21627,Chevrolet
33287.4096,21661,SAAB
16472.89765,21675,Chevrolet
12944.93875,21684,Chevrolet
14398.92269,21688,Pontiac
18042.22107,21702,Pontiac
12162.14005,21770,Saturn
36210.123,21778,Cadillac
13135.90503,21796,Chevrolet
19027.86231,21797,Buick
29481.52876,21822,SAAB
16744.03025,21829,Chevrolet
12333.60399,21877,Saturn
12464.07346,21891,Pontiac
13106.90042,21910,Chevrolet
22231.56315,21929,Pontiac
29114.54451,21960,SAAB
36077.79612,21966,Cadillac
15979.01484,21974,Pontiac
22113.62802,21992,Chevrolet
28204.60358,22021,SAAB
36633.63382,22042,Cadillac
30075.99473,22052,SAAB
22230.0275,22102,Buick
29914.37958,22105,SAAB
20839.14997,22152,Chevrolet
9506.047937,22169,Chevrolet
26789.83261,22189,SAAB
37215.16938,22211,Cadillac
10386.04022,22225,Chevrolet
15709.05282,22236,Buick
14771.00346,22255,Saturn
25148.37919,22272,SAAB
22435.20282,22287,Buick
30575.24882,22298,SAAB
28291.76226,22328,SAAB
11169.91839,22380,Chevrolet
12845.17425,22382,Chevrolet
16644.08787,22383,Chevrolet
11539.84565,22405,Chevrolet
15594.80684,22414,Pontiac
18856.01869,22423,Pontiac
12570.13668,22479,Chevrolet
30731.94165,22479,SAAB
11137.04565,22484,Chevrolet
12630.77503,22571,Chevrolet
15230.00339,22576,Buick
26653.23939,22590,SAAB
20406.0995,22596,Buick
27109.405890000002,22598,SAAB
22470.35843,22626,Chevrolet
19540.24479,22628,Pontiac
16256.23617,22637,Pontiac
15059.13408,22641,Pontiac
20017.96843,22729,Chevrolet
13159.82154,22740,Chevrolet
35575.41705,22740,Chevrolet
12099.01458,22758,Saturn
12425.38917,22771,Chevrolet
16078.66549,22779,Pontiac
24852.49528,22814,SAAB
12119.0897,22826,Saturn
16860.09433,22841,Chevrolet
27610.8642,22881,SAAB
16027.28649,22889,Chevrolet
20109.90412,22891,Pontiac
15048.04218,22964,Buick
23345.32907,22964,Chevrolet
9789.037676,22986,Chevrolet
26698.07815,23055,SAAB
35895.49941,23056,Cadillac
15297.83597,23062,Pontiac
14220.01322,23069,Chevrolet
11726.00297,23103,Chevrolet
10921.94537,23119,Chevrolet
11179.95357,23121,Chevrolet
31132.21349,23124,Cadillac
16403.25363,23133,Chevrolet
29844.204,23143,SAAB
60567.54909,23193,Cadillac
12897.92954,23200,Chevrolet
27241.43618,23204,SAAB
15622.1211,23217,Pontiac
21878.12,23237,Buick
14909.05099,23323,Pontiac
14703.13687,23335,Pontiac
19774.24907,23359,Buick
43892.46788,23371,Cadillac
11679.92355,23388,Saturn
30271.9223,23426,SAAB
16825.19088,23460,Chevrolet
16357.99232,23491,Chevrolet
12207.87293,23512,Chevrolet
32075.98487,23553,SAAB
22625.07357,23612,Buick
16993.78033,23621,Chevrolet
30315.16944,23635,SAAB
13719.23831,23645,Saturn
13744.84985,23748,Chevrolet
44300.63996,23751,Cadillac
19344.16554,23765,Buick
21562.04758,23767,Buick
23077.56591,23798,Buick
39547.5879,23826,Chevrolet
18348.89857,23852,Buick
41516.42986,23861,Cadillac
27425.84391,23886,Pontiac
12465.50852,23931,Pontiac
10144.95208,23963,Chevrolet
13034.06853,23976,Pontiac
15724.25217,23989,Pontiac
19105.13012,24008,Buick
14862.09387,24021,Buick
23348.01695,24027,Buick
34392.99527,24031,SAAB
42677.60112,24052,Cadillac
20619.11401,24067,Chevrolet
13216.91205,24069,Saturn
11539.04853,24163,Chevrolet
16536.74388,24218,Chevrolet
15505.29381,24239,Pontiac
34297.30535,24259,Chevrolet
14853.19901,24270,Pontiac
12258.85759,24318,Pontiac
19981.12791,24323,Buick
13869.15494,24349,Saturn
35866.58271,24415,Cadillac
21799.1721,24439,Buick
17115.12203,24461,Chevrolet
21058.13958,24469,Buick
13162.85205,24542,Pontiac
31969.06981,24559,SAAB
11045.10884,24568,Chevrolet
12319.69625,24568,Chevrolet
16543.98014,24583,Chevrolet
12412.52111,24664,Saturn
20047.95136,24665,Chevrolet
27703.204,24738,SAAB
12284.28829,24740,Saturn
18566.0707,24747,Pontiac
9482.219404,24842,Chevrolet
16988.30306,24905,Chevrolet
27370.95811,24960,Pontiac
18701.22262,24992,Pontiac
12243.06062,25014,Chevrolet
21525.33901,25020,Chevrolet
17750.88457,25040,Buick
12573.89994,25048,Chevrolet
30166.85251,25049,SAAB
17772.96968,25052,Buick
10770.10655,25065,Chevrolet
12383.40281,25069,Chevrolet
11394.8864,25107,Chevrolet
36332.89469,25153,Cadillac
35338.65369,25163,Cadillac
39691.7274,25169,Chevrolet
43374.05242,25199,Cadillac
21341.25721,25212,Buick
8638.930895,25216,Chevrolet
23329.20826,25218,SAAB
20382.15031,25240,Chevrolet
19556.89932,25245,Buick
28432.82421,25247,SAAB
11903.09775,25285,Pontiac
15788.10478,25295,Pontiac
36154.30355,25339,Cadillac
26792.30016,25357,SAAB
28678.07525,25380,SAAB
23406.68982,25387,Buick
16341.8041,25394,Chevrolet
33984.43077,25420,SAAB
34685.66298,25421,Cadillac
17839.80077,25453,Chevrolet
17394.0214,25464,Buick
11070.06064,25476,Chevrolet
21698.01475,25489,Buick
18620.87137,25516,Pontiac
21020.83678,25550,Chevrolet
19423.16502,25557,Pontiac
21831.82292,25564,Buick
15967.2454,25598,Pontiac
22189.11597,25651,Pontiac
16300.46524,25697,Chevrolet
41053.48217,25717,Cadillac
11671.85813,25727,Chevrolet
11013.87137,25746,Chevrolet
34739.21496,25747,Chevrolet
16569.14124,25777,Pontiac
15664.6249,25787,Chevrolet
21765.06658,25794,Pontiac
34974.37804,25796,Cadillac
12549.89233,25816,Chevrolet
16997.69374,25830,Pontiac
13699.03578,25845,Chevrolet
13230.91867,25862,Chevrolet
23159.54378,25869,Buick
10872.01393,25869,Chevrolet
16803.12275,25874,Chevrolet
16345.94375,25931,Chevrolet
15680.86443,25956,Chevrolet
38824.86909,25960,Chevrolet
15118.89323,25979,Saturn
13518.23525,25981,Saturn
19956.75841,26028,Pontiac
18543.42705,26034,Buick
13825.15471,26034,Saturn
15951.81117,26070,Chevrolet
12209.55962,26097,Pontiac
27548.62961,26126,Pontiac
13310.05959,26143,Chevrolet
9041.906254,26191,Chevrolet
12495.97075,26204,Chevrolet
31181.71516,26222,Cadillac
20221.80881,26223,Chevrolet
13811.15502,26236,Saturn
36245.15823,26250,Cadillac
19116.13109,26252,Pontiac
22894.43868,26272,Chevrolet
28054.98236,26276,SAAB
16713.98469,26328,Chevrolet
12594.18301,26328,Saturn
24801.61719,26345,SAAB
27256.49451,26400,SAAB
19204.80934,26477,Pontiac
28829.028,26503,SAAB
16283.95899,26511,Pontiac
16143.95729,26532,Chevrolet
15797.19576,26700,Chevrolet
21683.03146,26779,Buick
27788.81324,26786,SAAB
14077.96885,26788,Saturn
17789.34673,26980,Chevrolet
14411.85885,26986,Saturn
24173.52588,27015,SAAB
33248.34252,27051,SAAB
19689.74084,27077,Pontiac
20986.01602,27096,Buick
21403.75642,27168,Pontiac
28502.30611,27199,Pontiac
18876.87065,27218,Chevrolet
13600.03418,27231,Saturn
13530.06864,27249,Chevrolet
15295.01827,27325,Buick
11203.14611,27364,Chevrolet
22064.29219,27384,Chevrolet
11961.61996,27394,Chevrolet
13545.0309,27431,Chevrolet
15086.89959,27438,Pontiac
16508.59069,27460,Chevrolet
15623.20027,27476,Chevrolet
28040.12853,27484,Cadillac
12706.91135,27521,Chevrolet
31059.18103,27544,Cadillac
30251.01842,27558,SAAB
12846.06159,27560,Chevrolet
18063.00491,27574,Pontiac
23733.40225,27600,SAAB
24063.01268,27674,SAAB
23249.84169,27686,SAAB
19448.22633,27721,Pontiac
10921.94537,27776,Chevrolet
16041.68559,27800,Pontiac
17645.74504,27830,Buick
19425.84862,27839,Buick
15174.34661,27887,Pontiac
10777.05254,27906,Chevrolet
23151.54614,27940,Chevrolet
13019.07114,27942,Chevrolet
19338.376,27966,Pontiac
16295.21144,28239,Chevrolet
22120.75776,28242,Chevrolet
12105.98134,28298,Saturn
18158.08313,28354,Pontiac
17768.05951,28385,Pontiac
11873.53399,28398,Saturn
12230.09977,28408,Chevrolet
12487.05429,28492,Chevrolet
28502.96241,28598,SAAB
12678.85397,28683,Chevrolet
19191.98962,29187,Buick
57154.44344,29260,Cadillac
15756.14613,29325,Pontiac
17294.181,29368,Chevrolet
11464.62886,29410,Chevrolet
18083.3963,29420,Chevrolet
20902.10379,29649,Buick
9928.188175,29680,Chevrolet
12965.22327,29707,Saturn
12684.98623,29891,Chevrolet
15457.17059,29925,Pontiac
9220.829677,29992,Chevrolet
11115.01364,30056,Chevrolet
18529.34212,30063,Pontiac
40619.07227,30082,Cadillac
13032.8681,30108,Saturn
12234.88805,30297,Chevrolet
17023.93687,30404,Pontiac
36970.89805,30502,Chevrolet
10491.0752,30948,Chevrolet
21200.69021,31197,Pontiac
12379.12647,31199,Chevrolet
15832.51835,31202,Chevrolet
38208.50102,31303,Cadillac
19641.7419,31324,Buick
24405.06676,31344,SAAB
14396.27056,31424,Pontiac
10788.97036,31436,Chevrolet
14963.04562,31471,Pontiac
39072.39205,31587,Cadillac
29142.71439,31655,SAAB
26955.0412,31773,SAAB
14869.28207,31791,Pontiac
55639.08765,31805,Cadillac
37288.93674,32039,Chevrolet
10563.06616,32458,Saturn
15138.40082,32462,Chevrolet
29612.15405,32477,SAAB
15233.15987,32535,Chevrolet
11413.5304,32619,Saturn
12553.07143,32844,Chevrolet
17808.199,32896,Buick
8870.947316,32914,Chevrolet
15503.5088,33345,Chevrolet
15554.28313,33357,Chevrolet
14546.88481,33374,Pontiac
20294.57682,33892,Chevrolet
14914.20128,33906,Chevrolet
11504.82455,33962,Saturn
25267.36768,34175,SAAB
31186.74146,34191,Chevrolet
26012.37462,34269,SAAB
11149.6183,34447,Chevrolet
9919.048185,34621,Chevrolet
17968.83828,34665,Buick
12741.19023,34815,Chevrolet
11521.52589,34998,Saturn
27666.23108,35157,SAAB
8768.998585,35299,Chevrolet
32038.33956,35326,Cadillac
16216.98071,35624,Pontiac
13585.6368,35662,Saturn
32954.14134,36074,Cadillac
25527.01303,36480,Pontiac
25845.20611,36557,SAAB
11581.90504,36566,Chevrolet
11080.51638,36855,Chevrolet
21536.74173,37128,Buick
9954.054174,37345,Chevrolet
24912.08058,38717,SAAB
10546.78275,38866,Chevrolet
11539.04853,38958,Saturn
17586.92858,39049,Chevrolet
11328.95887,39946,Chevrolet
24903.47774,40719,SAAB
15792.83144,41566,Pontiac
32537.18675,41829,Cadillac
52001.99438,42691,Cadillac
28777.95969,48991,SAAB
22244.87655,50387,SAAB
