ahe,bachelor,female,age
15.38461494,1,0,27
17.09401703,0,0,32
12.01923084,0,1,29
21.63461494,1,1,30
33.65384674,1,0,27
15.600000380000001,0,1,25
15.38461494,1,0,32
16.34615326,0,0,30
16.66666603,1,1,25
35.7843132,1,0,31
13.49065971,1,1,30
20.2429142,0,1,31
38.03418732,1,0,32
44.92307663,1,0,30
14.42307663,0,0,26
16.15384674,1,1,30
26.15384674,1,0,33
17.30769157,1,1,25
17.78846169,1,0,32
64.90384674,1,0,28
19.23077011,0,0,34
16.82692337,0,0,30
19.71153831,1,1,34
19.23077011,0,0,33
10.57692337,0,1,32
26.44230843,1,1,29
35.04273605,0,0,33
6.04395628,0,1,27
2.884615421,0,0,29
17.78846169,0,0,30
30.76922989,1,1,32
14.42307663,1,0,27
16.02564049,0,0,28
14.42307663,1,0,34
14.42307663,1,0,27
14.68531513,1,1,32
8.09375,0,1,33
9.134614944,1,1,30
14.42307663,0,0,31
16.82692337,0,1,34
26.22377586,1,0,32
19.23077011,0,1,29
12.01923084,0,1,25
18.26922989,0,0,27
14.42307663,0,1,25
22.43589783,1,1,26
48.07692337,1,0,28
21.15384674,1,0,28
11.53846169,1,1,27
12.5,1,0,25
35.09615326,1,0,27
10,0,1,25
31.25,1,0,29
17.30865479,0,0,26
31.53846169,0,0,33
16.25874138,0,0,34
13.94230747,0,1,27
40.76922989,1,0,34
43.26922989,1,0,33
48.07692337,0,0,27
41.56105804,1,0,25
12.8776226,1,1,28
15.38461494,1,0,25
22.59615326,1,0,29
9.615385056,0,1,30
14.42307663,0,0,28
13.05000019,1,1,27
12.01923084,1,1,31
8.241758347,0,0,28
4.945055008,0,1,32
17.1875,1,0,26
21.44970322,0,0,34
12.5,1,1,33
17.2583828,0,0,25
25.27472496,0,0,31
15.38461494,1,0,30
55.76922989,1,0,26
52.88461685,0,0,25
5.769230843,0,0,27
18.00699234,1,0,33
13.31360912,0,0,28
14.52991486,1,1,28
29.71153831,1,0,31
31.25,1,1,29
32,1,0,30
12.5,0,1,29
14.42307663,1,0,34
6.286982059,0,1,34
12.01923084,0,1,28
11.53846169,0,0,31
11.53846169,1,0,31
14.42307663,0,0,25
16.82692337,0,0,25
14.42307663,1,1,31
7.692307472,0,0,34
52.40384674,0,0,28
12.82051277,0,0,28
13.48039246,1,0,34
24.34663391,0,0,29
15.38461494,1,1,34
14.42307663,0,0,26
22.5,1,1,33
9.134614944,1,0,26
18.75,1,1,27
16.82692337,0,0,31
11.53846169,0,0,30
16.82692337,1,1,33
24.03846169,0,0,31
12.01923084,1,1,30
3.924646854,0,1,25
7.47863245,0,1,33
21.15384674,0,0,32
27.77777863,1,0,26
15.625,1,1,25
16.34615326,1,1,32
3.885392427,1,1,34
13.07692337,1,1,34
19.23077011,1,0,26
36.6300354,1,0,26
9.615385056,1,1,28
12.5,1,0,29
12.92307663,0,0,28
17.09401703,0,0,32
9.615385056,0,1,29
12.01923084,0,0,32
10.41666698,1,0,25
28.84615326,1,1,32
16.82692337,0,0,32
20.19230843,0,0,30
21.63461494,1,1,30
15.38461494,1,0,25
20.0854702,1,0,33
18.19126892,1,1,32
44.87179565,1,0,30
14.42307663,0,0,28
40.86538315,1,1,34
22.22222137,0,0,33
12.5,1,0,26
47.11538315,1,0,32
16.23931694,1,1,32
72.11538696,1,0,34
11.39423084,0,0,34
18.75,0,1,30
10.35503006,1,0,33
14.55000019,0,1,27
16.82692337,0,1,31
10.57692337,0,1,34
13.46153831,0,0,33
16.82692337,0,1,30
39.42307663,0,0,25
9.615385056,1,1,33
12.27087879,1,1,29
5.17751503,0,1,29
35.33654022,0,0,33
52.88461685,1,1,34
33.17307663,0,0,28
17.27884674,0,1,31
26.70940208,1,0,25
15.67980766,0,0,27
14.5411768,0,1,27
20.87912178,1,1,32
28.36538506,1,0,34
14.31126976,0,0,26
12.5,1,0,32
11.1888113,1,0,34
24.4755249,1,0,34
7.815057278,0,0,33
19.23077011,1,1,29
12.25961494,1,0,28
9.615385056,0,0,28
14.50961494,1,1,27
16.82692337,1,0,25
27.47252655,1,1,32
14.42307663,0,0,26
36.05769348,1,1,32
5.288461685,0,1,31
22.95918274,1,1,29
24.94802475,0,1,33
25,0,0,34
24.03846169,1,1,34
29.39903831,1,1,34
8.974358559,1,1,25
12.11538506,1,0,25
12.46153831,1,1,26
36.05769348,1,1,31
17.30769157,1,1,29
16.34567261,1,0,29
23.80952454,1,0,34
22.26720619,0,1,29
17.71255112,0,0,28
17.78846169,0,0,34
9.615385056,1,1,25
31.25,0,0,27
26.92307663,1,0,32
14.90384579,0,0,31
6.576922894,0,1,28
40.86538315,1,1,32
18.26922989,1,0,26
14.42307663,1,0,27
41.66666794,1,1,30
6.04395628,0,0,33
24.35897446,0,0,31
6.593406677,0,1,32
10.09615421,0,0,29
26.15384674,1,1,34
24.03846169,1,0,34
15.625,0,1,32
36.98225021,1,1,34
48.07692337,1,1,27
16.82692337,0,0,27
26.44230843,1,0,29
29.80769157,1,0,32
30.28846169,0,0,28
16.82692337,1,1,26
24.03846169,1,1,28
24.03846169,1,0,29
11.09467411,1,1,32
21.36752129,1,0,25
18.26922989,1,0,28
16.66666603,1,1,29
18.26922989,1,0,27
22.59615326,1,0,34
24.03846169,0,0,34
24.03846169,1,1,28
24.03846169,1,0,31
31.25,1,0,31
45.19230652,1,0,34
26.44230843,1,0,27
28.84615326,1,1,26
20,0,0,25
25,1,1,30
12.5,1,1,34
32.69230652,1,0,30
10.81730747,1,0,33
20.79001999,0,1,33
26.33136177,1,0,33
11.53846169,0,0,33
28.84615326,1,1,31
27.74725342,1,1,31
15.07936478,0,0,34
32.69230652,1,1,27
18.26922989,1,1,27
12.2863245,0,1,27
33.65384674,1,1,32
21.97802162,1,1,32
26.06837654,1,1,30
17.78846169,0,1,25
16.82692337,0,1,34
33.65384674,0,0,34
5.288461685,0,1,26
16.82692337,0,0,30
14.42307663,1,1,33
33.65384674,1,0,25
16.64201164,1,1,27
14.42307663,0,1,32
22.59615326,1,0,25
11.05769253,1,1,28
5.288461685,0,0,27
23.84653854,1,0,31
20,1,0,33
19.27083397,0,0,30
13.46153831,0,0,33
9.615385056,0,0,32
9,0,0,30
12.5,0,1,28
28.84615326,1,1,25
12.94378662,1,1,27
32.05128098,1,1,27
56.25,1,1,26
10.95238113,0,1,32
12.0165596,0,0,32
6.875,0,0,25
14.42307663,0,0,34
25,1,0,32
15.38461494,0,1,34
9.615385056,0,1,34
21.875,1,1,30
19.23077011,1,0,33
12.01923084,1,1,27
16.82692337,1,0,30
35.09615326,1,0,27
21.15384674,0,0,34
16.82692337,0,1,26
28.84615326,1,0,32
10.57692337,1,1,32
16.48351669,1,1,29
19.23077011,0,0,30
19.76495743,1,0,30
23.07692337,0,0,28
35.57692337,1,0,27
35.57692337,1,0,26
12.01923084,1,1,25
20.25462914,1,1,33
17.30865479,0,0,26
6.25,0,0,26
19.23077011,0,1,27
17.09401703,1,0,32
31.25,1,0,25
26.09890175,1,1,29
38.46154022,1,0,32
12.01923084,0,0,30
10.0009613,0,0,25
19.23077011,1,1,34
12.01923084,0,1,32
24.03846169,1,0,27
25.96153831,1,1,25
39.42307663,0,0,34
16.82692337,0,0,32
12.01923084,0,1,29
14.17004013,1,1,27
21.23397446,1,0,34
20.12611771,1,1,32
11.09541416,1,1,25
26.92307663,1,0,27
16.82692337,1,0,32
14.42307663,1,1,28
7.692307472,0,0,30
31.25,1,1,29
15.38461494,0,0,26
16.82692337,1,1,27
26.44230843,1,1,33
22.59615326,0,0,32
14.42307663,0,0,32
18,1,1,25
16.60839081,1,0,30
19.61615372,1,1,32
18.75,1,1,33
19.23077011,1,0,25
28.84615326,1,0,30
9.615385056,1,0,31
11.53846169,0,0,29
14.42307663,0,0,33
13.7435894,1,0,26
27.77777863,1,0,26
16.53846169,1,0,26
9.401709557,0,1,31
14.42307663,1,1,34
8.17307663,0,1,28
7.211538315,0,1,28
12.08791256,1,1,29
21.63461494,1,1,28
15.28599644,1,0,30
67.30769348,1,0,34
19.23077011,0,0,26
6.538461685,1,0,27
23.55769157,1,0,29
13.46153831,1,1,28
15.38461494,1,0,25
7.692307472,0,1,26
33.65384674,1,0,28
19.23077011,0,1,34
31.425891879999998,1,1,33
19.23077011,1,1,25
11.29807663,0,0,32
9.134614944,1,0,31
15.73426533,1,0,31
11.05769253,1,1,27
18,0,0,34
37.95546722,1,0,34
17.62820435,1,1,32
25,1,1,25
38.46154022,1,0,31
41.88034058,1,0,32
38.26530457,1,1,31
12.01923084,0,0,32
10.41666698,1,0,26
12.01923084,1,1,29
16.92307663,1,1,25
31.25,1,1,33
61.53845978,1,1,32
17.30769157,0,0,27
17.857143400000002,0,0,30
5.826330662,0,0,28
11.83431911,0,1,27
21.36752129,0,0,34
29.39903831,1,1,34
13.19999981,1,0,27
50,1,0,34
18.26922989,1,0,25
11.53846169,0,1,28
28.84615326,0,0,26
21.15384674,0,0,33
13.67521381,0,0,29
8.241758347,0,0,34
45.45454407,1,0,31
18.53146935,1,1,27
32.05128098,0,0,33
12.98076916,0,1,30
12.98076916,0,1,28
42.73504257,1,0,32
44.87179565,1,0,25
28.84615326,1,0,27
7.692307472,1,1,25
25.96153831,0,0,34
23.19079018,1,1,34
37.5,1,1,26
43.75,1,0,29
12.5,0,0,30
12.98076916,0,1,33
16.82692337,0,1,27
13.04500008,1,0,33
28.84615326,1,0,34
36.5,1,0,33
62.5,1,0,33
25.64102554,1,0,33
21.92307663,1,0,31
22.59615326,0,0,34
19.23077011,0,1,26
31.25,1,0,30
10.57692337,0,0,29
2.884615421,1,0,26
20.91715622,1,0,33
19.23077011,1,0,31
36.05769348,1,0,30
14.42307663,1,1,27
42.30769348,1,0,29
24.78632545,1,0,32
24.78632545,1,1,32
17.62820435,0,1,33
19.23077011,0,0,25
14.42307663,0,1,34
36.53845978,1,1,30
29.67033005,1,0,29
7.692307472,1,0,25
44.23077011,0,0,32
8.71442318,0,1,29
24.03846169,1,0,33
31.25,1,1,30
8.653845787,0,1,30
16.82788467,0,0,32
21.63557625,0,1,30
32.05128098,1,0,28
14.42307663,1,0,31
12.01923084,0,1,28
14.42307663,1,0,33
22.59615326,1,1,28
16.94444466,0,1,25
8.791209221,0,0,28
19.69086456,0,0,28
38.46154022,1,0,30
13.94230747,1,0,30
12.98076916,0,1,32
29.80769157,1,0,26
9.616346359,0,0,26
14.42307663,0,0,29
12,0,0,26
5.769230843,0,1,29
20.29914474,0,0,32
22.22222137,1,0,26
12.08791256,0,1,33
28.02197838,1,1,25
23.52941132,0,0,30
17.30769157,0,0,28
19.23077011,0,1,34
11.53846169,0,1,26
14.28571415,0,0,32
6.730769157,0,0,26
36.6300354,1,0,34
12.5,0,1,33
32.21154022,1,1,29
15.38461494,0,0,32
17.30769157,0,0,28
23.65384674,1,1,33
16.34615326,1,1,25
19.71153831,1,1,32
31.25,0,0,34
24.572649,1,0,32
12.98076916,0,0,26
9.615385056,0,1,27
19.23077011,0,0,28
17.54807663,0,0,31
8.17307663,0,1,27
15.38461494,0,0,32
27.36686325,1,1,30
28.29670334,1,1,32
13.68343163,0,0,34
12.94378662,0,1,30
55.20833206,1,1,33
28.84615326,1,0,32
7.211538315,0,0,34
31.62393188,0,1,29
26.31579018,0,0,33
34.61538315,1,1,27
15.43522263,1,1,32
24.72527504,0,0,34
16.34615326,1,0,27
8.741258621,0,0,34
8.741258621,0,0,28
27.40384674,0,0,30
12.5,1,1,29
22.69230843,1,0,32
48.07692337,1,0,34
26.44230843,0,0,32
16.82692337,0,0,28
8.17307663,0,1,26
9.616346359,0,0,26
7.211538315,0,1,25
9.087499619,0,1,33
39.285713199999996,1,0,27
16.86274529,0,0,32
27.88461494,1,1,31
20.19230843,0,0,33
14.42307663,0,0,28
18.26922989,0,0,26
13.6217947,0,1,33
13.46153831,0,0,32
8.571428299,0,1,33
28.36538506,0,0,34
9.8039217,1,1,28
33.65384674,1,0,28
39.90384674,0,0,34
20.42414474,1,1,27
10.57692337,0,0,33
24.03846169,0,0,32
6.25,0,1,32
7.692307472,0,1,31
14.42403889,0,1,26
16.94444466,0,1,32
7.211538315,0,1,29
19.69086456,0,0,27
18.75,0,0,32
4.807692528,0,1,33
7.326007366,0,1,27
9.615385056,1,1,31
27.55555534,1,1,30
24.03846169,1,0,26
43.26922989,1,0,33
31.25,1,0,34
33.65384674,1,1,31
40.86538315,0,0,30
29.89999962,1,1,28
43.26922989,1,1,31
35.25640869,1,1,30
22.59615326,1,0,28
31.25,1,0,26
9.134614944,1,1,31
38.46154022,1,0,26
16.82692337,0,0,32
9.615385056,0,0,27
31.25,0,0,28
7.912087917,0,1,32
24.03846169,1,0,27
18.37606812,0,0,27
8.17307663,0,1,28
26.44230843,1,0,27
10.81730747,1,0,27
55.28845978,1,0,34
33.65384674,1,1,31
2.403846264,1,1,29
33.65384674,1,1,29
22.69230843,0,0,29
48.07692337,1,0,31
48.07692337,1,1,31
8.741258621,1,0,25
27.2435894,1,0,28
16.82692337,1,1,32
9.615385056,0,0,29
10.27027035,1,0,31
33.65384674,1,0,31
19.23077011,1,0,32
43.26922989,1,0,31
24.88888931,1,0,28
4.39560461,0,1,29
14.42307663,1,0,32
24.03846169,1,0,32
21.63461494,1,1,27
23.15384674,0,0,28
5.341880322,0,0,31
19.23077011,1,1,26
20.0854702,1,0,29
13.94230747,0,1,25
33.28402328,1,0,29
7.692307472,0,0,31
12.82051277,1,1,29
6.818181992,0,0,33
33.65384674,0,1,30
2.307692289,0,1,25
25.96153831,1,0,26
62.5,1,0,33
28.84615326,1,0,27
17.11111069,1,0,27
36.05769348,1,1,32
34.61538315,1,0,32
10.68376064,1,0,26
7.912087917,0,1,28
26.92307663,1,0,31
21.63461494,1,1,30
26.44230843,1,1,34
20.39999962,1,0,27
24.03942299,1,0,33
51.44230652,1,0,31
21.63461494,1,1,26
46.63461685,0,0,32
24.03846169,0,0,32
14.42307663,1,1,30
27.47252655,1,0,25
38.46154022,1,0,30
18.19126892,1,1,25
43.26922989,1,1,25
26.92307663,1,0,25
5.769230843,1,1,29
20.67307663,1,1,26
18.34319496,1,1,27
25.64102554,1,0,28
36.71328735,1,0,27
40.38461685,1,1,26
26.92307663,1,0,30
26.92307663,1,0,32
10.57692337,1,1,31
9.615385056,1,0,27
13.46153831,1,1,25
9.615385056,1,1,29
12.01923084,1,1,30
26.15384674,1,0,25
15.73426533,1,0,28
12.01923084,1,1,26
8,0,0,28
8,0,0,33
15.54828167,1,1,28
28.84615326,1,0,33
31.25,1,1,26
26.44230843,1,0,30
26.44230843,1,0,26
11.53846169,1,1,33
35.38461685,1,1,28
23.07692337,1,1,26
44.87179565,1,0,27
21.63461494,1,0,31
52.88461685,1,0,26
20.60439491,1,0,29
32.05128098,1,1,30
20.60439491,1,0,27
19.23077011,0,0,25
14.42307663,0,0,31
15.38461494,1,0,26
13.94230747,0,1,29
24.03846169,1,0,27
24.72527504,1,1,30
21.63461494,1,1,31
11.18951035,1,0,28
28.84615326,1,0,28
5.769230843,1,1,29
16.82692337,1,0,25
24.03846169,1,1,25
28.84615326,1,1,31
24.2857151,1,0,30
63.94230652,1,0,30
21.63461494,1,1,31
19.23077011,1,0,31
50.48077011,1,1,32
59.61538315,0,0,26
29,0,0,26
11.05769253,0,1,34
29.12087822,1,1,32
28.84615326,1,1,34
19.23077011,1,0,33
13.46153831,0,1,33
20.19230843,0,0,32
18.26922989,1,0,25
19.23077011,1,1,30
21.63557625,1,0,28
18.75,0,1,26
35.57692337,0,0,28
44.87179565,1,1,27
20,0,1,31
43.26922989,1,1,33
12.5,1,0,26
7.451922894,0,1,25
19.23077011,1,0,33
14.42307663,0,1,26
12.94378662,1,1,31
21.63461494,1,1,29
18.55769157,1,0,27
7.211538315,0,1,30
15.38461494,0,0,34
17.09401703,0,1,31
18,0,0,29
7.692307472,0,1,25
8.653845787,0,0,28
35.75,1,0,26
36.05769348,1,1,30
12.40384579,1,1,29
12.5,1,0,32
18.75,1,1,31
12.98076916,0,0,30
21.63461494,0,0,29
34.61538315,1,0,25
11.25,1,0,33
12.01923084,0,0,25
14.42307663,0,0,26
53.84615326,1,1,34
23.07692337,1,1,30
30.28846169,0,0,25
38.46154022,1,0,32
24.03846169,1,0,31
13.18681335,0,0,33
40.86538315,1,0,32
7.692307472,0,1,32
48.07692337,1,1,25
20.19230843,1,0,29
14.42307663,1,1,27
19.23077011,1,1,32
8.241758347,1,0,31
24.03846169,0,0,34
38.46154022,1,1,26
12.01923084,0,0,25
48.07692337,1,0,33
23.55769157,1,1,31
19.23077011,1,0,30
19.7913456,0,1,32
38.46154022,1,1,32
31.25,1,0,32
20,1,0,33
22,1,0,27
28.84615326,1,0,27
18.91025734,0,0,32
18.02884674,1,1,26
26.92307663,1,1,25
57.69230652,1,0,32
4.807692528,0,1,27
14.42307663,0,0,29
8.990385056,0,0,26
14.42307663,0,0,33
16.82692337,0,0,34
8.653845787,0,1,27
13,0,0,29
14.90384579,0,1,32
19.23077011,1,0,27
9,0,0,32
25,0,0,31
14.42307663,0,0,26
28.84615326,1,1,25
18.26922989,0,1,27
42.30769348,0,0,34
12.69230747,0,0,32
30.28846169,0,0,32
8.17307663,0,1,28
14.90384579,1,1,25
21.15384674,1,0,34
13.46153831,0,0,32
14.42307663,1,1,29
30,1,0,33
13.73626328,1,0,31
38.46154022,0,0,33
21.15384674,1,0,25
13.73626328,0,1,33
5.769230843,0,1,30
24.03846169,0,0,28
31.25,1,0,34
14.42307663,1,0,27
21.36752129,1,1,30
14.90384579,0,0,32
12.98076916,0,0,31
11.77403831,1,1,30
26.44230843,1,1,28
13.75,1,1,33
10.98901081,0,1,30
18.71657753,0,1,25
22.59615326,0,0,27
16.82692337,0,1,32
8.413461685,0,0,34
24.03846169,1,1,31
10.91476059,1,1,31
12.01923084,0,1,25
6.730769157,1,1,26
12.01923084,0,1,27
14.83516502,0,0,32
15.38461494,0,0,25
11.12980747,1,0,26
13.5,0,0,32
10.68376064,0,0,28
34.08654022,0,0,30
29.39903831,1,1,33
28.84615326,1,0,26
14.42307663,1,1,25
39.42307663,1,0,34
12.01923084,0,0,34
4.326922894,0,1,34
34.8837204,1,1,32
21.63461494,0,1,28
28.84711456,1,0,27
43.26922989,1,0,31
48.07692337,1,0,26
17.03296661,1,0,27
10,0,0,28
19.23077011,0,0,32
10.98901081,0,0,30
23.50427437,1,0,25
34.61538315,0,0,32
19.71153831,1,1,32
4.437870026,0,0,32
12.01923084,0,0,30
19.23077011,0,0,26
24.03846169,1,1,33
38.46154022,1,0,33
14.42307663,1,0,25
15.38461494,0,1,29
48.07692337,1,0,34
16.82692337,1,1,31
16.34615326,1,0,27
40.38461685,1,0,30
22.59615326,1,0,32
26.82692337,1,0,30
11.53846169,0,0,25
31.25,1,0,29
26.44230843,1,1,29
9.615385056,1,1,30
24.03846169,1,1,33
24.03846169,1,0,33
28.84615326,1,1,32
25.96153831,0,0,25
31.59340668,1,0,30
14.42307663,1,0,30
19.23077011,1,1,30
24.03846169,1,1,34
14.42307663,1,1,28
14.28571415,1,1,34
40.38461685,1,0,30
36.05769348,1,1,26
21.36752129,1,1,27
21.63461494,1,1,33
11.53846169,0,0,34
34.61538315,1,0,29
11.53846169,0,0,25
6.009615421,0,1,34
6.875,0,0,32
24.03846169,1,0,32
38.46154022,1,0,34
42.73504257,1,1,34
6.730769157,0,0,33
9.882478714,0,1,33
16.48351669,1,1,27
24.03846169,1,1,27
16.48351669,0,0,25
25,0,0,29
67.30769348,1,1,29
21.075000760000002,0,1,32
33.65384674,1,1,25
24.03846169,1,0,31
25.96153831,1,1,26
14.61538506,1,0,27
22.59615326,1,1,29
14.42307663,1,1,27
24.03846169,0,0,31
24.78632545,1,1,27
25.04472351,1,0,25
8.626373291,1,1,33
50.48077011,1,1,34
12.82051277,1,0,27
23.55769157,0,1,32
17.78846169,1,0,27
18.99038506,1,1,30
19.93007088,1,1,31
8.835759163,0,1,29
10.98901081,1,1,27
12.01923084,0,0,34
35.42510223,0,0,31
14.42307663,1,1,30
18.26922989,0,0,31
14.42307663,0,0,26
48.07692337,1,1,26
46.15384674,1,1,27
24.03846169,1,1,25
19.23077011,1,0,31
31.25,1,0,32
19.23077011,1,1,25
8.17307663,0,1,25
23,1,1,33
27.69230843,1,0,34
11.53846169,1,1,34
9.615385056,0,0,25
33.65384674,1,0,32
31.25,1,0,31
18.46153831,0,0,27
9.890110016,0,1,34
22.76615334,0,1,33
19.23077011,0,0,32
24.03846169,0,0,34
11.53846169,0,1,32
18.26922989,1,1,27
43.75,1,0,28
40.04807663,1,1,28
34.61538315,1,0,33
9.615385056,0,1,34
10.98901081,1,1,26
9.615385056,0,0,30
17.30769157,1,0,26
22.11538506,0,0,27
6.25,0,0,27
13.88888931,0,1,26
37.66025543,1,1,29
11.77884579,0,1,32
25,0,0,29
28.84615326,1,1,33
15.38461494,1,0,30
25.48077011,1,0,32
24.03846169,1,1,29
16.48351669,1,1,27
11.1336031,1,1,33
27.40384674,0,0,29
17.78846169,1,0,31
31.25,0,0,26
16.82692337,0,0,25
19.23077011,1,1,27
15.86538506,1,1,30
17.94871712,1,0,29
9.616346359,0,0,25
15.86538506,1,1,25
10.09615421,1,1,33
14.21568584,0,0,33
4.670329571,0,1,25
32.57575607,0,0,32
9.375,1,0,25
27.40384674,0,0,27
6.593406677,0,0,25
29.80769157,1,1,29
19.23077011,0,0,31
6.410256386,0,0,30
12.98076916,0,1,32
11.05769253,1,0,30
11.96581173,1,0,28
18.02884674,1,0,25
9.340659142,1,1,26
24.03846169,1,1,26
9.615385056,1,0,31
10.09615421,0,0,32
19.23077011,0,0,26
10.57692337,0,1,27
17.78846169,0,1,25
16.34615326,1,1,29
20.19230843,0,0,28
24.03846169,0,0,27
9.615385056,1,1,26
12.01923084,0,1,29
12.82051277,1,0,31
36.75213623,0,0,33
8.17307663,0,1,27
14.58333302,0,1,29
36.05769348,1,1,34
12.01923084,0,0,34
14.10256386,1,1,27
16.34615326,1,0,26
32.69230652,0,0,32
15.00076962,0,0,34
14.42307663,0,0,32
9.615385056,1,0,26
14.90384579,1,0,30
19.23077011,1,1,31
10.5,0,1,27
9.134614944,1,1,28
10.68376064,0,0,25
21.63461494,1,0,26
14.42307663,1,0,26
25.64102554,1,1,29
16.82692337,1,0,27
17.78846169,0,0,33
20.19230843,1,1,28
12.98076916,0,0,28
15.38461494,0,0,27
15.16272163,1,0,27
24.03846169,0,0,33
24.03846169,1,1,28
22.59615326,0,0,31
20.0854702,1,0,31
26.44230843,0,0,29
7.142857075,1,1,29
14.42307663,1,1,25
19.23077011,0,0,26
40.86538315,1,0,32
18.72469711,0,1,34
11.05769253,0,0,30
9.134614944,1,0,27
28.84615326,0,0,27
16.34567261,1,0,25
8.653845787,1,1,30
11.53846169,0,1,30
15.38461494,0,0,30
9.615385056,0,0,31
12.01923084,1,0,26
10.09615421,0,1,34
16.82692337,0,0,28
16.34615326,0,1,27
14.42307663,1,0,30
20.83333397,0,0,27
12.01923084,1,1,30
14.42307663,0,0,32
14.42307663,1,1,26
14.73063946,0,0,33
11.11111069,1,1,30
11.05769253,0,1,29
25,1,1,28
32.69230652,1,0,28
16.19433212,1,1,32
17.14999962,0,0,33
37.5,1,0,34
30.76922989,1,0,31
22.43589783,1,1,31
25,0,1,32
24.03846169,1,0,34
33.65384674,1,0,29
28.36538506,1,0,29
27.69230843,1,0,31
16.82692337,0,0,33
15.72115421,1,1,28
52.88461685,1,1,32
11.39423084,1,1,29
45.67307663,1,0,27
15.86538506,1,1,34
34.13461685,0,0,25
11.05769253,0,0,26
9.01442337,0,0,26
43.75,0,0,34
4.807692528,0,1,33
28.86634636,1,0,30
27.03798103,1,1,31
12.01923084,1,1,26
16.82692337,1,0,32
41.34615326,1,0,26
