Black,Hispanic,Female,Amount,MPHover,Age,OutTown,OutState,StatePol
0,0,0,125,15,20,1,0,0
0,0,0,125,15,18,0,0,1
0,0,0,265,29,19,1,0,0
0,0,0,175,20,50,1,1,0
0,0,1,75,10,38,1,0,0
0,0,1,115,14,50,1,0,0
0,0,0,75,10,19,0,0,0
0,0,0,175,20,25,1,0,0
0,1,0,75,10,25,1,0,0
0,0,0,75,20,38,1,0,1
0,0,1,75,10,20,1,0,0
0,0,0,75,10,24,1,0,1
0,0,0,75,10,24,1,0,0
0,0,1,75,10,45,1,0,0
0,0,0,75,10,42,1,0,0
0,0,0,75,20,18,1,0,0
0,0,1,75,10,55,1,0,0
0,0,1,75,10,19,0,0,0
0,0,0,155,18,19,1,0,0
0,0,1,75,10,44,0,0,0
0,0,1,75,10,25,1,0,1
0,0,1,75,10,20,1,1,0
0,0,0,75,10,37,1,0,0
0,0,1,125,15,32,1,0,0
0,0,0,NA,10,75,1,0,1
0,0,0,75,10,18,0,0,0
0,0,0,NA,9,20,1,0,1
0,1,0,75,10,30,1,0,0
0,0,0,75,10,18,0,0,0
0,0,0,75,10,29,1,0,0
0,0,1,75,10,25,1,0,0
0,0,0,75,10,38,1,0,0
0,0,1,75,10,33,1,1,0
0,0,0,75,10,26,1,0,0
0,0,0,75,10,27,1,1,0
0,1,0,75,10,28,0,0,1
0,0,0,125,15,64,1,0,0
0,0,0,195,22,17,0,0,0
0,0,0,75,18,17,0,0,0
0,0,0,75,10,18,0,0,0
0,0,0,75,10,24,1,1,0
0,1,0,125,15,32,1,0,0
0,0,0,325,35,42,1,0,1
0,1,0,115,14,28,1,0,0
0,0,0,135,16,36,1,0,0
0,0,1,75,10,52,0,0,0
0,0,0,75,10,46,0,0,0
0,0,0,75,10,20,1,0,0
0,1,0,325,35,20,1,0,0
0,0,0,125,15,17,0,0,0
0,0,0,75,10,23,1,1,1
0,0,0,105,13,46,1,0,0
0,0,1,125,15,18,1,0,1
0,0,0,250,30,27,1,0,0
0,0,0,125,15,55,1,0,0
0,0,0,135,16,23,1,0,0
0,0,1,125,15,21,0,0,0
0,0,1,75,10,25,1,0,0
0,0,0,75,25,30,1,0,1
0,0,0,75,10,42,1,0,0
0,0,0,225,25,17,1,0,1
0,0,0,115,26,27,1,0,1
0,0,1,75,10,36,0,0,0
0,0,0,75,10,18,1,0,0
0,0,0,125,15,59,1,0,0
0,0,0,75,10,23,1,0,0
0,0,0,75,10,32,1,0,0
0,0,0,125,15,40,1,0,0
0,0,0,75,10,46,0,0,0
0,0,0,75,20,29,1,0,0
0,0,0,75,10,22,1,1,0
0,0,0,170,22,17,0,0,0
0,0,0,180,23,29,0,0,0
0,0,1,265,29,18,1,0,0
0,0,0,140,19,32,1,0,0
0,0,0,NA,13,18,1,0,0
0,0,0,NA,17,36,1,0,0
0,0,0,NA,14,23,1,0,0
0,0,0,NA,20,36,0,0,0
0,0,0,NA,19,23,0,0,0
0,0,1,NA,16,21,1,0,0
0,0,0,75,30,19,1,0,0
0,0,1,NA,23,39,1,0,0
0,0,0,170,17,21,1,0,0
0,0,0,170,17,34,1,0,0
0,0,0,75,23,18,0,0,0
0,0,0,150,20,33,1,0,0
0,0,1,NA,12,29,1,0,0
0,0,0,75,30,21,1,0,0
0,0,0,NA,15,22,0,0,0
0,0,0,NA,15,35,1,0,0
0,0,1,NA,12,18,1,0,0
0,0,0,80,13,19,0,0,0
0,0,0,NA,15,18,1,0,0
0,0,0,90,14,20,1,0,0
0,0,1,NA,10,47,1,0,0
0,0,0,50,10,20,1,0,0
0,0,0,NA,15,49,0,0,0
0,0,0,140,19,24,0,0,0
0,0,0,75,17,20,0,0,0
0,0,0,200,20,20,1,0,0
0,0,0,90,14,19,0,0,0
0,0,0,75,20,18,0,0,0
0,0,0,NA,15,19,0,0,0
0,0,0,70,12,33,1,0,0
0,0,0,50,10,19,1,0,0
0,0,0,75,17,17,0,0,0
0,0,0,75,15,19,1,0,0
0,0,0,50,15,19,0,0,0
0,0,1,145,17,31,1,0,0
1,0,0,205,23,24,1,0,0
1,0,0,75,10,18,0,0,1
0,0,1,NA,9,20,0,0,1
0,0,1,125,15,32,1,0,0
0,0,1,NA,10,27,0,0,0
0,0,0,75,10,18,1,1,1
0,0,1,NA,17,18,0,0,0
0,0,0,NA,10,23,1,0,0
0,0,0,NA,10,78,0,0,0
0,0,1,75,17,21,1,0,0
0,0,0,75,10,19,1,0,0
0,0,0,NA,10,33,1,0,1
0,0,0,145,17,17,1,0,1
0,0,0,NA,10,25,1,0,0
1,0,0,NA,10,27,1,0,0
0,0,1,NA,10,28,1,0,0
0,0,1,NA,10,36,1,0,0
0,0,0,NA,14,23,1,0,0
0,0,0,75,10,18,0,0,0
0,0,0,NA,15,29,1,0,0
0,0,1,75,10,44,0,0,0
0,1,0,100,23,24,0,0,1
0,0,1,75,15,24,1,0,0
0,0,0,275,30,24,1,0,0
0,0,0,NA,10,36,1,0,0
0,0,0,NA,10,18,1,0,0
0,0,1,NA,10,50,1,1,0
0,0,0,NA,10,20,0,0,0
0,0,0,NA,10,39,0,0,0
0,0,0,75,15,18,1,0,1
0,0,0,NA,10,18,0,0,0
0,0,1,75,10,38,1,0,0
0,0,1,75,10,20,1,0,0
0,0,1,NA,10,75,1,0,0
0,0,1,NA,13,21,1,0,1
0,0,1,NA,10,27,1,0,0
0,0,0,NA,10,41,1,1,0
1,0,0,75,10,22,1,0,0
1,0,0,NA,10,25,1,0,1
0,0,0,NA,14,40,0,0,0
0,0,0,235,26,28,1,1,0
0,0,0,NA,10,57,0,0,0
0,0,0,NA,10,24,1,0,0
0,0,1,NA,10,20,1,0,0
0,0,0,NA,15,29,1,0,1
0,0,0,NA,10,18,1,0,0
0,0,1,75,10,23,1,0,0
0,0,0,75,11,78,1,1,0
0,0,0,75,10,33,1,1,0
0,0,0,NA,10,18,0,0,0
0,0,0,NA,10,25,0,0,0
0,0,1,NA,10,35,1,0,1
0,0,0,NA,10,22,1,0,0
0,0,1,NA,10,17,1,0,0
0,0,0,75,10,21,0,0,1
0,0,1,75,10,24,1,0,1
0,0,1,NA,10,17,0,0,0
0,0,1,NA,14,32,0,0,0
0,0,1,NA,14,18,0,0,0
0,0,1,75,18,42,1,0,0
0,0,0,NA,14,35,0,0,0
0,0,1,365,39,19,1,0,0
0,0,0,NA,20,49,1,0,0
0,0,1,NA,18,19,0,0,0
0,0,0,NA,15,20,0,0,0
0,0,1,185,21,30,0,0,0
0,0,1,NA,10,26,1,1,0
0,0,0,NA,10,25,1,1,1
0,0,1,75,10,22,0,0,1
0,0,0,75,15,37,1,0,1
0,0,1,385,41,17,1,1,0
1,0,1,NA,13,42,1,0,0
0,0,0,NA,14,31,1,0,0
0,0,0,NA,15,30,0,0,0
0,0,0,NA,16,19,0,0,0
0,0,0,NA,13,54,0,0,0
0,0,0,50,16,18,0,0,0
0,0,1,175,25,29,1,0,1
0,0,1,NA,16,31,0,0,0
0,0,0,NA,14,45,0,0,0
0,0,0,NA,20,33,1,1,0
0,0,1,NA,15,22,1,1,0
0,0,1,215,24,23,0,0,0
0,0,0,NA,8,46,0,0,0
0,0,0,NA,10,22,1,0,0
0,0,1,NA,21,51,1,0,0
0,1,0,125,15,22,1,0,0
0,0,0,75,18,38,1,0,1
0,0,0,NA,13,38,0,0,0
0,0,0,220,25,32,0,0,0
0,0,0,75,15,45,0,0,1
0,0,0,75,21,42,1,0,0
0,0,0,75,15,27,1,0,1
0,0,0,215,24,35,1,1,1
0,0,0,125,17,18,1,1,1
0,0,1,155,18,36,0,0,0
0,0,0,NA,15,43,0,0,0
0,0,0,NA,12,32,1,0,0
0,0,0,NA,15,52,1,1,0
0,0,0,120,17,26,1,0,0
0,0,1,155,18,29,0,0,0
0,0,0,235,26,21,0,0,0
0,0,0,185,21,19,1,0,1
0,0,0,75,9,19,1,0,1
0,0,0,NA,15,43,1,0,0
0,0,0,150,25,18,0,0,0
0,0,0,NA,14,69,0,0,0
0,0,1,125,15,29,1,0,0
0,0,1,NA,16,41,1,0,0
0,0,0,NA,17,26,0,0,0
0,1,0,NA,15,38,1,0,0
1,0,0,50,25,55,1,0,0
0,0,0,NA,22,37,0,0,0
0,0,0,155,18,39,0,0,0
0,0,0,NA,10,17,0,0,0
0,0,0,105,13,42,1,0,0
0,0,0,175,25,31,1,0,1
1,0,0,75,25,26,1,0,1
0,0,1,NA,14,57,0,0,0
0,0,1,NA,15,40,1,1,0
0,0,0,135,16,30,0,0,1
0,0,1,NA,17,42,0,0,0
0,0,1,NA,11,49,1,0,0
0,0,1,NA,12,52,0,0,0
0,0,0,NA,16,67,0,0,0
0,0,1,NA,10,35,0,0,0
0,0,1,NA,12,27,0,0,0
0,0,0,NA,12,18,0,0,0
0,0,0,NA,14,26,1,0,0
0,0,0,265,29,17,0,0,0
0,0,0,NA,18,22,0,0,0
0,0,1,50,15,47,1,0,0
0,0,1,NA,15,50,1,1,0
0,0,0,125,15,43,1,0,1
0,0,0,NA,12,40,0,0,0
0,0,0,NA,10,24,0,0,1
0,0,1,NA,11,53,0,0,0
0,0,1,NA,10,27,0,0,0
0,0,0,NA,25,37,0,0,0
0,0,0,NA,15,31,0,0,1
0,0,1,NA,12,26,0,0,0
0,0,0,NA,15,42,1,0,0
0,0,0,NA,23,22,1,0,0
0,0,0,185,21,35,0,0,0
0,0,1,NA,13,56,0,0,0
0,0,0,NA,10,46,1,0,0
0,0,0,NA,15,39,0,0,0
0,0,1,NA,10,41,1,0,0
0,0,0,NA,15,20,0,0,0
0,0,0,NA,15,36,1,1,0
0,0,1,NA,12,54,0,0,0
0,0,0,NA,15,29,1,1,0
0,0,0,NA,21,51,1,0,0
0,0,0,225,25,23,1,1,0
0,0,1,NA,14,26,0,0,0
0,0,1,NA,16,60,0,0,0
0,0,1,NA,12,18,0,0,0
0,0,0,NA,15,28,1,1,0
0,0,0,235,26,30,0,0,0
0,0,0,NA,15,42,1,1,0
0,0,0,170,22,19,0,0,0
1,0,0,NA,22,41,1,0,0
0,0,0,NA,18,32,0,0,0
0,0,0,100,22,19,0,0,0
0,0,0,NA,20,32,0,0,0
1,0,0,220,27,31,1,1,0
0,0,0,75,20,22,0,0,0
0,0,0,75,18,41,0,0,0
0,0,1,NA,15,62,0,0,0
0,0,1,275,30,18,0,0,0
0,0,1,NA,17,55,1,1,0
0,0,1,NA,16,47,0,0,0
0,0,0,NA,14,25,1,0,0
0,0,0,NA,16,24,1,0,0
0,0,0,NA,13,22,1,0,0
0,0,1,NA,20,72,1,0,0
0,0,0,NA,16,58,0,0,0
0,0,0,325,35,35,1,0,1
0,0,0,NA,11,17,0,0,0
0,0,1,NA,12,19,0,0,0
0,0,0,145,17,17,1,0,0
0,0,1,NA,15,39,1,0,1
0,0,0,75,23,21,1,0,0
1,0,0,50,20,18,1,0,0
0,0,0,135,16,45,1,0,0
0,0,1,NA,13,48,0,0,0
0,0,0,NA,10,41,1,0,0
0,0,1,NA,10,42,0,0,0
0,0,0,165,19,33,1,1,1
0,0,0,NA,17,76,0,0,0
0,0,0,NA,15,37,1,0,0
0,0,0,210,26,18,0,0,0
0,0,0,NA,10,27,0,0,0
0,0,0,NA,21,36,0,0,0
0,0,1,NA,17,23,0,0,0
0,0,0,50,17,46,0,0,0
0,0,0,NA,15,24,0,0,0
0,0,0,205,23,25,1,1,1
0,0,0,NA,9,33,1,0,1
0,0,0,295,32,24,1,0,0
0,0,1,NA,14,51,0,0,0
0,0,1,NA,10,19,0,0,0
0,0,1,NA,13,37,0,0,0
0,0,0,NA,12,20,0,0,0
0,0,1,NA,17,39,0,0,0
0,0,0,275,36,30,1,0,0
0,0,1,NA,14,51,1,0,0
0,0,0,NA,12,19,1,0,0
0,0,0,NA,10,51,1,1,0
0,0,0,75,19,20,1,0,0
0,0,0,75,10,39,1,0,1
0,0,0,195,22,37,1,1,0
0,0,1,NA,10,36,1,1,0
0,0,0,95,21,31,1,0,0
0,0,0,NA,15,24,0,0,0
0,0,0,NA,12,18,0,0,0
0,0,0,NA,14,34,0,0,0
0,0,1,NA,10,23,0,0,0
0,0,0,NA,21,20,0,0,0
0,0,0,50,28,20,0,0,0
0,0,1,NA,17,29,0,0,0
0,0,1,NA,14,39,1,1,0
0,0,0,NA,14,72,0,0,0
0,0,0,NA,15,40,1,0,0
0,0,0,NA,16,24,0,0,0
0,0,1,NA,15,38,0,0,0
0,0,1,NA,17,65,1,0,0
0,0,1,NA,17,27,0,0,0
0,0,1,NA,16,21,1,1,0
0,0,0,NA,13,44,0,0,0
1,0,0,NA,14,56,1,0,0
0,0,0,75,11,20,0,0,0
0,0,1,75,15,29,0,0,0
0,0,1,NA,16,53,0,0,0
0,0,0,75,10,49,0,0,0
0,0,0,NA,11,21,0,0,0
0,0,0,NA,10,51,1,0,0
0,0,0,NA,10,60,1,0,0
0,0,0,NA,15,21,0,0,0
0,0,1,160,21,74,0,0,0
0,0,0,330,38,54,1,1,0
0,0,0,175,20,20,1,1,0
0,0,1,NA,13,43,0,0,0
0,0,1,NA,17,19,0,0,0
0,0,0,NA,10,18,0,0,0
0,0,1,NA,15,20,0,0,0
0,0,1,NA,15,35,0,0,0
0,0,1,75,22,35,1,0,0
0,0,0,85,11,18,0,0,0
0,0,1,75,10,20,1,1,1
0,0,1,75,10,35,1,0,1
0,0,0,NA,14,49,0,0,0
0,0,0,175,23,21,1,1,1
0,0,0,NA,15,79,1,0,0
0,1,1,NA,15,56,1,0,0
0,0,0,NA,15,47,0,0,0
0,0,0,NA,15,19,1,0,0
0,0,1,NA,17,64,1,0,0
0,0,1,NA,15,29,0,0,0
0,0,1,175,28,22,1,0,0
0,0,1,NA,17,27,1,0,0
0,0,1,NA,12,36,0,0,0
0,1,1,NA,18,41,1,0,0
0,0,0,NA,15,42,1,0,0
0,0,0,NA,10,47,1,1,0
0,0,0,NA,16,17,0,0,0
0,0,1,175,20,24,0,0,0
0,0,1,125,15,21,0,0,1
0,0,1,NA,16,29,0,0,0
0,0,0,NA,10,30,1,0,0
0,1,0,NA,18,36,1,0,0
0,0,0,75,19,20,1,0,0
0,1,0,225,25,19,1,0,0
0,0,0,NA,15,86,1,1,0
0,0,0,NA,17,19,0,0,0
0,0,0,NA,18,49,0,0,0
0,0,0,145,17,20,1,0,0
0,0,0,75,33,23,0,0,0
0,0,1,NA,15,22,0,0,0
0,0,1,NA,7,54,0,0,0
0,0,1,205,23,48,0,0,0
0,0,0,75,22,20,0,0,0
0,0,0,NA,19,33,0,0,0
0,0,0,NA,10,54,0,0,0
0,0,0,NA,11,19,0,0,0
0,0,0,125,15,43,1,0,0
0,1,0,155,18,30,1,0,0
1,0,0,75,10,32,1,0,0
0,0,0,NA,17,28,1,0,0
0,0,1,NA,11,50,0,0,0
0,0,1,NA,12,18,0,0,0
0,0,0,125,15,45,0,0,0
0,0,1,NA,10,45,1,0,0
0,0,0,NA,15,42,0,0,0
0,0,0,NA,17,35,1,0,0
0,0,1,NA,16,39,1,1,0
0,0,0,155,18,45,1,0,0
0,0,0,150,26,20,1,0,0
0,0,1,NA,15,48,1,1,0
0,0,0,NA,13,27,0,0,0
0,0,1,NA,21,19,0,0,0
0,0,0,NA,16,38,1,1,0
0,0,0,NA,5,32,1,0,1
0,0,1,NA,15,21,0,0,0
0,0,1,NA,11,20,0,0,0
0,0,0,NA,15,49,1,1,0
0,0,0,145,17,23,0,0,0
0,0,0,NA,22,27,1,0,0
0,0,1,NA,7,56,1,0,0
0,0,1,NA,13,52,0,0,0
0,0,1,NA,20,45,0,0,0
0,0,1,75,10,27,0,0,1
0,0,1,NA,17,41,1,0,0
0,0,0,NA,13,39,0,0,0
0,0,0,NA,10,23,0,0,0
0,0,1,NA,25,30,0,0,0
0,0,0,NA,17,19,0,0,0
0,0,1,75,18,21,1,0,0
0,0,0,NA,13,30,1,0,0
0,0,0,75,10,20,1,0,0
0,0,0,NA,19,47,1,1,0
0,0,1,NA,15,84,0,0,0
0,0,1,NA,17,35,0,0,0
0,0,1,NA,20,23,1,0,0
0,0,0,NA,14,34,0,0,0
0,0,0,NA,17,64,0,0,0
0,0,0,NA,22,25,1,1,0
0,0,1,NA,26,28,1,1,0
1,0,0,NA,12,19,1,0,0
0,0,0,125,15,31,1,0,0
0,0,1,NA,25,28,1,0,0
0,0,1,NA,19,38,1,0,0
0,0,0,NA,10,21,0,0,0
0,0,0,NA,14,17,0,0,0
0,0,1,50,22,23,0,0,0
0,0,1,50,20,38,1,1,0
0,0,0,NA,15,48,0,0,0
0,0,1,105,26,19,0,0,1
0,0,0,185,21,31,1,1,0
0,0,1,NA,18,50,0,0,0
0,0,0,NA,13,26,0,0,0
0,0,1,NA,16,18,0,0,0
0,0,1,NA,18,54,0,0,0
0,0,1,NA,12,56,0,0,0
0,0,1,NA,12,25,0,0,0
0,0,1,100,20,36,1,0,1
0,0,0,145,17,26,1,0,1
0,0,0,NA,16,42,0,0,0
0,0,0,75,10,47,1,1,1
0,0,0,NA,12,50,1,0,0
0,0,1,75,10,24,1,0,0
0,0,0,NA,14,36,1,1,0
0,0,0,NA,19,17,0,0,0
0,0,0,NA,19,21,1,0,0
0,0,1,NA,10,28,1,0,0
0,1,0,NA,16,41,1,0,0
0,0,0,NA,13,52,0,0,0
0,0,0,NA,14,69,0,0,0
0,0,0,75,10,24,1,0,1
0,0,0,NA,15,33,1,0,0
0,0,0,205,23,65,1,1,1
0,0,0,NA,12,23,0,0,0
0,0,0,75,10,53,1,1,1
0,0,0,NA,15,44,1,0,0
0,0,1,NA,19,22,1,1,0
0,0,1,NA,13,26,0,0,0
0,0,1,75,10,32,0,0,0
0,0,1,NA,15,40,1,0,0
0,0,0,NA,10,45,0,0,0
0,0,1,NA,14,28,0,0,0
0,0,1,NA,15,37,0,0,0
0,0,0,NA,14,28,1,0,0
0,0,0,NA,13,24,0,0,0
0,0,0,75,10,24,0,0,0
0,0,0,NA,13,37,1,0,0
1,0,0,NA,12,24,0,0,0
0,1,0,120,17,29,1,0,1
0,0,0,75,20,35,1,1,1
0,0,1,145,17,22,1,1,1
0,1,0,105,13,33,1,0,1
0,0,1,235,26,19,1,0,1
0,0,1,75,10,31,1,0,1
0,0,0,NA,10,30,0,0,0
0,0,0,175,20,67,1,1,1
0,0,1,NA,14,22,0,0,0
0,0,0,NA,13,53,0,0,0
0,0,0,75,10,36,1,0,0
0,0,0,75,10,44,0,0,0
0,0,1,75,10,23,1,0,1
0,0,0,NA,20,52,1,0,1
0,0,1,NA,10,31,1,0,0
0,0,0,NA,10,44,1,1,0
0,0,0,NA,13,38,1,0,0
0,0,1,NA,13,49,1,0,0
0,0,0,NA,13,57,0,0,0
0,0,0,75,10,34,1,1,1
0,0,1,NA,17,39,1,1,0
0,0,1,NA,10,44,0,0,0
1,0,1,NA,15,49,1,0,0
0,0,0,NA,17,36,1,0,0
0,0,1,NA,15,65,1,1,0
0,0,1,NA,15,43,1,0,0
0,0,0,75,10,35,1,1,0
0,0,1,NA,16,19,0,0,0
0,0,1,225,25,32,1,0,1
0,0,1,75,18,29,1,0,0
0,0,1,NA,13,18,0,0,0
0,0,1,NA,15,55,0,0,0
0,0,0,125,15,48,1,1,1
0,0,0,NA,15,70,1,0,0
0,0,0,NA,14,60,1,0,0
0,0,1,NA,14,46,1,0,0
0,0,1,NA,15,60,1,0,0
0,0,1,175,20,18,1,1,1
0,0,0,NA,15,32,1,0,0
0,0,0,NA,14,52,0,0,0
0,0,0,NA,15,61,1,0,0
0,0,0,NA,21,20,0,0,0
0,0,0,215,24,25,1,0,1
0,0,1,NA,16,53,0,0,0
0,0,0,NA,16,57,1,0,0
0,0,0,NA,15,35,0,0,0
0,0,0,NA,14,17,0,0,0
0,0,0,NA,15,35,0,0,0
0,0,1,NA,15,17,0,0,0
0,0,1,75,10,43,1,0,0
0,0,0,75,10,39,1,0,0
0,0,0,175,20,76,1,1,1
0,0,0,125,15,21,1,0,1
0,0,1,225,25,29,1,0,1
0,0,0,NA,14,33,1,0,0
0,0,1,NA,13,73,0,0,0
0,1,0,75,20,19,1,0,0
0,0,1,NA,17,42,1,0,0
0,0,0,185,21,23,1,0,1
0,0,1,NA,15,34,0,0,0
0,0,0,125,15,20,1,0,1
0,0,0,NA,13,26,1,0,0
0,0,0,NA,15,46,0,0,0
0,0,1,75,10,18,0,0,0
0,0,0,NA,14,45,0,0,0
0,0,0,275,30,31,1,0,1
0,0,1,NA,15,53,0,0,0
1,0,0,NA,13,22,0,0,0
0,0,0,NA,13,18,1,0,0
0,0,1,NA,15,31,0,0,0
0,0,0,75,10,21,1,1,1
0,0,1,NA,20,47,1,1,0
0,0,1,NA,13,40,0,0,0
0,0,0,155,18,39,1,0,1
0,0,1,NA,10,52,1,0,0
0,0,1,NA,15,45,1,0,0
0,0,0,NA,10,19,1,1,1
0,0,1,NA,14,22,0,0,0
0,0,1,75,17,43,1,0,0
0,0,0,NA,13,40,1,0,0
0,0,0,75,10,25,1,0,1
0,0,1,NA,15,32,1,1,0
0,0,1,NA,15,41,0,0,0
0,0,1,NA,15,22,1,0,0
0,0,1,NA,15,74,0,0,0
0,0,0,185,21,38,1,1,1
0,0,0,NA,13,19,1,0,0
0,0,1,NA,15,29,0,0,0
0,0,0,185,21,34,1,1,1
0,0,0,175,20,20,1,0,1
0,0,0,125,15,37,1,1,1
0,0,1,NA,13,55,1,0,0
0,0,1,125,15,55,1,1,1
0,0,0,NA,14,25,1,1,0
0,0,1,NA,13,39,1,1,0
0,0,0,75,10,24,1,0,0
0,0,1,NA,13,58,0,0,0
0,0,0,200,25,49,1,1,1
0,0,0,NA,16,33,1,0,0
0,0,0,75,10,21,1,0,0
0,0,0,NA,15,36,1,0,0
0,0,0,125,15,27,1,0,1
0,0,0,NA,17,60,1,0,0
0,0,0,75,20,34,1,0,0
0,0,0,NA,15,28,0,0,0
0,0,0,NA,15,56,1,0,0
0,0,1,NA,10,46,1,0,0
0,0,1,NA,15,55,1,0,0
0,0,0,175,20,32,1,1,1
0,0,1,NA,15,19,0,0,0
0,0,0,125,15,46,1,1,0
0,0,1,NA,11,22,1,0,0
0,0,1,NA,15,40,1,1,0
0,0,0,195,22,50,1,1,1
0,0,1,NA,10,18,1,0,0
0,0,1,NA,15,20,0,0,0
0,0,0,150,20,17,1,1,1
0,0,0,NA,16,51,1,0,0
0,0,0,75,10,66,1,1,0
0,0,0,75,10,46,0,0,0
0,0,0,155,18,45,1,1,1
0,0,1,NA,15,45,0,0,0
0,0,0,75,25,40,1,1,0
0,1,1,175,20,31,1,1,1
1,0,0,NA,20,47,1,0,0
0,0,0,75,10,23,1,1,0
0,0,1,NA,16,18,0,0,0
0,0,1,NA,15,40,0,0,0
0,0,0,75,10,36,1,1,0
0,0,0,185,21,21,1,1,1
0,0,1,NA,13,32,1,0,0
0,0,1,NA,15,54,1,0,0
0,0,0,NA,10,26,1,0,0
0,0,0,110,16,32,1,0,1
0,0,1,NA,16,28,1,1,0
0,0,1,75,15,25,1,1,1
1,0,0,NA,21,20,1,1,0
0,0,0,NA,15,41,1,0,0
0,0,0,NA,15,31,1,1,0
0,0,0,NA,14,19,0,0,0
0,0,0,NA,15,52,1,0,0
0,0,0,75,22,37,0,0,0
0,0,1,75,10,41,0,0,0
0,0,0,100,26,65,1,0,1
1,0,1,75,10,60,0,0,0
0,0,1,NA,15,26,0,0,0
0,0,1,175,20,41,1,1,0
0,0,0,NA,12,18,1,0,0
0,0,1,NA,17,25,1,1,0
0,0,0,NA,15,32,0,0,0
0,0,1,NA,10,24,1,0,0
0,1,0,75,10,30,1,1,1
0,1,0,NA,15,29,1,1,0
0,0,0,NA,19,49,0,0,0
0,0,1,NA,12,44,0,0,0
0,0,0,NA,15,35,0,0,0
0,0,0,NA,15,45,0,0,0
0,0,0,NA,15,35,1,0,0
0,0,0,NA,15,23,1,1,0
1,0,0,NA,10,22,1,1,0
0,0,0,NA,11,73,0,0,0
0,0,1,NA,10,18,1,0,0
1,0,1,NA,16,21,1,1,0
0,0,1,NA,12,51,0,0,0
0,0,0,NA,2,21,1,0,0
0,0,0,NA,10,19,1,0,0
0,0,0,NA,14,29,1,0,0
0,0,0,NA,11,17,1,0,0
0,0,0,NA,12,22,1,0,1
0,0,0,NA,12,22,1,1,0
0,0,0,NA,14,21,1,1,0
0,0,0,NA,12,33,1,0,0
0,0,0,215,24,18,0,0,0
0,0,0,NA,11,56,1,0,0
