title,year,length,budget,rating,votes,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,mpaa,Action,Animation,Comedy,Drama,Documentary,Romance,Short,genre,highrating,RatedR
After the Sunset,2004,97,58,6,3431,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,PG-13,1,0,1,0,0,0,0,Action,Yes,Not_R_rated
Agent Cody Banks,2003,102,26,5.5,2655,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,4.5,4.5,PG,1,0,1,0,0,0,0,Action,No,Not_R_rated
Agent Cody Banks 2: Destination London,2004,100,26,3.8,919,14.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,PG,1,0,1,0,0,0,0,Action,No,Not_R_rated
Air Bud,1997,98,3,4.7,1276,14.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,PG,0,0,1,1,0,0,0,Comedy,No,Not_R_rated
Air Force One,1997,124,85,6.3,26156,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,R,1,0,0,1,0,0,0,Action,Yes,R_rated
Air Marshal,2003,90,0.5,3,81,34.5,14.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,24.5,R,1,0,0,0,0,0,0,Action,No,R_rated
"Alamo, The",2004,137,95,5.9,3060,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,4.5,4.5,PG-13,1,0,0,1,0,0,0,Action,No,Not_R_rated
"Alan Smithee Film: Burn Hollywood Burn, An",1997,86,10,3.2,1262,34.5,14.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,R,0,0,1,0,0,0,0,Comedy,No,R_rated
Albino Alligator,1996,97,5,6,2077,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,R,0,0,0,1,0,0,0,Drama,Yes,R_rated
Alexander,2004,175,150,5.5,11254,14.5,4.5,4.5,4.5,14.5,14.5,14.5,4.5,4.5,14.5,R,0,0,0,1,0,0,0,Drama,No,R_rated
Alferd Packer: The Musical,1996,97,0.125,7,2298,4.5,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,34.5,R,0,0,1,0,0,1,0,Comedy,Yes,R_rated
Alfie,2004,103,60,6,3492,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,R,0,0,1,1,0,0,0,Comedy,Yes,R_rated
Ali,2001,165,107,6.4,9294,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,R,0,0,0,1,0,0,0,Drama,Yes,R_rated
Alien: Resurrection,1997,116,70,6,24358,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,R,1,0,0,0,0,0,0,Action,Yes,R_rated
Aliens,1986,154,18.5,8.3,63961,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,24.5,R,1,0,0,0,0,0,0,Action,Yes,R_rated
All About the Benjamins,2002,95,14,5.4,1250,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,4.5,4.5,R,1,0,1,0,0,0,0,Action,No,R_rated
All the Pretty Horses,2000,116,45,5.6,3133,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,4.5,4.5,PG-13,0,0,0,1,0,0,0,Drama,No,Not_R_rated
All the Queen's Men,2001,105,25,5,353,4.5,4.5,14.5,4.5,14.5,14.5,14.5,4.5,4.5,14.5,PG-13,1,0,1,1,0,0,0,Action,No,Not_R_rated
All the Real Girls,2003,108,1,6.8,1745,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,14.5,R,0,0,0,1,0,1,0,Drama,Yes,R_rated
Almost Famous,2000,162,60,8,38648,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,24.5,R,0,0,1,1,0,0,0,Comedy,Yes,R_rated
Alone in the Dark,2005,96,20,2.1,2880,64.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,R,1,0,0,0,0,0,0,Action,No,R_rated
Along Came Polly,2004,90,42,5.8,9785,4.5,4.5,4.5,4.5,14.5,24.5,24.5,4.5,4.5,4.5,PG-13,0,0,1,0,0,1,0,Comedy,No,Not_R_rated
Along Came a Spider,2001,104,28,6.1,9456,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,R,0,0,0,1,0,0,0,Drama,Yes,R_rated
Amadeus,1984,180,18,8.3,36955,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,34.5,R,0,0,0,1,0,0,0,Drama,Yes,R_rated
America's Sweethearts,2001,102,48,5.8,11849,4.5,4.5,4.5,4.5,14.5,24.5,24.5,4.5,4.5,4.5,PG-13,0,0,1,0,0,1,0,Comedy,No,Not_R_rated
American Beauty,1999,121,15,8.5,109991,4.5,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,34.5,R,0,0,0,1,0,0,0,Drama,Yes,R_rated
American History X,1998,119,10,8.4,59677,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,24.5,R,0,0,0,1,0,0,0,Drama,Yes,R_rated
American Outlaws,2001,94,35,5.5,2878,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,14.5,PG-13,1,0,1,0,0,0,0,Action,No,Not_R_rated
American Pie,1999,95,11,6.8,41126,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,R,0,0,1,0,0,0,0,Comedy,Yes,R_rated
American Pie 2,2001,105,30,6.3,22752,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,R,0,0,1,0,0,0,0,Comedy,Yes,R_rated
"American President, The",1995,114,62,6.9,11834,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,PG-13,0,0,1,1,0,1,0,Comedy,Yes,Not_R_rated
American Psycho,2000,102,8,6.8,21639,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,R,0,0,0,1,0,0,0,Drama,Yes,R_rated
American Wedding,2003,103,55,6.3,13590,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,R,0,0,1,0,0,0,0,Comedy,Yes,R_rated
"American Werewolf in Paris, An",1997,105,22,5,4302,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,R,0,0,1,0,0,1,0,Comedy,No,R_rated
Amistad,1997,152,40,7,10543,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,R,0,0,0,1,0,0,0,Drama,Yes,R_rated
Amores perros,2000,153,2,8.2,15079,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,24.5,R,0,0,0,1,0,0,0,Drama,Yes,R_rated
Analyze This,1999,109,30,6.6,24521,4.5,4.5,4.5,4.5,4.5,14.5,34.5,14.5,4.5,4.5,R,0,0,1,0,0,0,0,Comedy,Yes,R_rated
Anchorman: The Legend of Ron Burgundy,2004,104,26,6.5,11553,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,4.5,14.5,PG-13,0,0,1,0,0,0,0,Comedy,Yes,Not_R_rated
Angel Eyes,2001,102,38,5.6,4829,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,4.5,4.5,R,0,0,0,1,0,1,0,Drama,No,R_rated
Anger Management,2003,106,75,6,14280,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,PG-13,0,0,1,0,0,0,0,Comedy,Yes,Not_R_rated
"Animal, The",2001,84,22,4.8,5605,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,R,0,0,1,0,0,0,0,Comedy,No,R_rated
"Animatrix: Final Flight of the Osiris, The",2003,11,5,7.6,1536,4.5,4.5,4.5,4.5,4.5,4.5,24.5,24.5,14.5,14.5,PG-13,1,1,0,0,0,0,1,Action,Yes,Not_R_rated
Anna and the King,1999,148,75,6.6,6739,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,PG-13,0,0,0,1,0,1,0,Drama,Yes,Not_R_rated
Antitrust,2001,108,30,6,7326,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,PG-13,0,0,0,1,0,0,0,Drama,Yes,Not_R_rated
Antwone Fisher,2002,117,12.5,7.4,4472,4.5,4.5,4.5,4.5,4.5,4.5,24.5,24.5,14.5,14.5,PG-13,0,0,0,1,0,0,0,Drama,Yes,Not_R_rated
Antz,1998,83,60,7,16312,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,PG,0,1,1,0,0,0,0,Animation,Yes,Not_R_rated
Any Given Sunday,1999,156,62,6.4,19531,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,4.5,R,0,0,0,1,0,0,0,Drama,Yes,R_rated
Anything Else,2003,108,18,6.5,3678,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,4.5,R,0,0,1,0,0,1,0,Comedy,Yes,R_rated
Anywhere But Here,1999,114,23,5.9,4007,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,PG-13,0,0,0,1,0,0,0,Drama,No,Not_R_rated
Apocalypse Now,1979,202,31.5,8.5,64785,4.5,4.5,4.5,4.5,4.5,4.5,14.5,14.5,24.5,34.5,R,1,0,0,1,0,0,0,Action,Yes,R_rated
Apollo 13,1995,140,62,7.5,41098,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,PG,0,0,0,1,0,0,0,Drama,Yes,Not_R_rated
"Apostle, The",1997,134,5,7.2,4231,4.5,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,14.5,PG-13,0,0,0,1,0,0,0,Drama,Yes,Not_R_rated
Apt Pupil,1998,112,14,6.4,6728,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,R,0,0,0,1,0,0,0,Drama,Yes,R_rated
Are We There Yet?,2005,95,32,3.5,1043,34.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,14.5,PG,0,0,1,0,0,0,0,Comedy,No,Not_R_rated
Arlington Road,1999,117,21.5,7.1,17189,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,R,0,0,0,1,0,0,0,Drama,Yes,R_rated
Armageddon,1998,153,140,5.7,45330,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,PG-13,1,0,0,0,0,0,0,Action,No,Not_R_rated
Army of Darkness,1993,96,11,7.4,22118,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,24.5,R,1,0,1,0,0,0,0,Action,Yes,R_rated
Around the World in 80 Days,2004,120,110,5.7,3887,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,4.5,4.5,PG,1,0,1,0,0,1,0,Action,No,Not_R_rated
Artificial Intelligence: AI,2001,146,90,6.8,36623,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,14.5,PG-13,0,0,0,1,0,0,0,Drama,Yes,Not_R_rated
As Good as It Gets,1997,139,50,7.7,47441,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,PG-13,0,0,1,1,0,1,0,Comedy,Yes,Not_R_rated
Assassins,1995,132,50,5.7,7354,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,R,1,0,0,0,0,0,0,Action,No,R_rated
Assault on Precinct 13,2005,109,20,6.3,2960,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,4.5,R,1,0,0,1,0,0,0,Action,Yes,R_rated
At First Sight,1999,128,40,5.7,3441,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,PG-13,0,0,0,1,0,0,0,Drama,No,Not_R_rated
Atlantis: The Lost Empire,2001,95,90,6.4,6323,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,PG,1,1,0,0,0,0,0,Action,Yes,Not_R_rated
Austin Powers in Goldmember,2002,94,63,6.2,22870,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,PG-13,1,0,1,0,0,0,0,Action,Yes,Not_R_rated
Austin Powers: International Man of Mystery,1997,94,17,7,33755,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,PG-13,1,0,1,0,0,0,0,Action,Yes,Not_R_rated
Austin Powers: The Spy Who Shagged Me,1999,95,33,6.5,37019,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,4.5,PG-13,1,0,1,0,0,0,0,Action,Yes,Not_R_rated
Auto Focus,2002,105,7,6.7,3276,4.5,4.5,4.5,4.5,4.5,14.5,34.5,14.5,4.5,4.5,R,0,0,0,1,0,0,0,Drama,Yes,R_rated
Autumn in New York,2000,103,40,4.7,3731,14.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,PG-13,0,0,0,1,0,1,0,Drama,No,Not_R_rated
Avalon,2001,106,8,6.8,2723,4.5,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,14.5,R,0,1,0,1,0,0,0,Animation,Yes,R_rated
"Avengers, The",1998,89,60,3.4,11499,24.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,4.5,PG-13,1,0,0,0,0,0,0,Action,No,Not_R_rated
"Aviator, The",2004,170,116,7.5,16217,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,PG-13,0,0,0,1,0,0,0,Drama,Yes,Not_R_rated
"Awfully Big Adventure, An",1995,112,4,5.8,608,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,14.5,R,0,0,0,1,0,0,0,Drama,No,R_rated
Baby Boy,2001,130,16,6.2,1476,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,4.5,R,0,0,0,1,0,1,0,Drama,Yes,R_rated
Baby Geniuses,1999,97,13,2.4,3142,45.5,14.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,PG,0,0,1,0,0,0,0,Comedy,No,Not_R_rated
"Bachelor, The",1999,101,21,5,4183,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,4.5,PG-13,0,0,1,0,0,1,0,Comedy,No,Not_R_rated
Bad Boys,1995,118,23,6.4,15326,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,4.5,R,1,0,1,0,0,0,0,Action,Yes,R_rated
Bad Boys II,2003,145,130,6.1,13087,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,14.5,R,1,0,1,0,0,0,0,Action,Yes,R_rated
Bad Company,2002,116,70,5.4,6175,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,4.5,4.5,PG-13,1,0,1,0,0,0,0,Action,No,Not_R_rated
Bad Moon,1996,80,7,4.4,519,4.5,4.5,14.5,14.5,14.5,14.5,14.5,4.5,4.5,14.5,R,1,0,0,0,0,0,0,Action,No,R_rated
Bad Santa,2003,98,18,7.2,11189,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,R,0,0,1,0,0,0,0,Comedy,Yes,R_rated
"Badge, The",2002,103,6,6.3,740,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,R,1,0,0,1,0,0,0,Action,Yes,R_rated
Bait,2000,119,35,5.6,1884,4.5,4.5,4.5,4.5,14.5,24.5,24.5,4.5,4.5,4.5,R,1,0,1,0,0,0,0,Action,No,R_rated
"Ballad of Jack and Rose, The",2005,112,1.5,6.2,269,4.5,4.5,4.5,4.5,4.5,4.5,14.5,14.5,4.5,34.5,R,0,0,0,1,0,0,0,Drama,Yes,R_rated
Ballistic: Ecks vs. Sever,2002,91,70,3.4,4556,24.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,4.5,R,1,0,0,0,0,0,0,Action,No,R_rated
Bamboozled,2000,135,10,6.3,2356,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,14.5,R,0,0,1,1,0,0,0,Comedy,Yes,R_rated
Bananas,1971,82,2,7.1,4252,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,PG-13,0,0,1,0,0,0,0,Comedy,Yes,Not_R_rated
Bandits,2001,123,80,6.7,12382,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,4.5,4.5,PG-13,0,0,1,1,0,1,0,Comedy,Yes,Not_R_rated
"Banger Sisters, The",2002,98,10,5.6,3189,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,4.5,4.5,R,0,0,1,1,0,0,0,Comedy,No,R_rated
Baptists at Our Barbecue,2004,92,0.5,5.9,62,14.5,4.5,4.5,4.5,4.5,4.5,14.5,4.5,4.5,24.5,PG,0,0,1,0,0,1,0,Comedy,No,Not_R_rated
Barbershop,2002,102,12,6.6,4943,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,4.5,4.5,PG-13,0,0,1,1,0,0,0,Comedy,Yes,Not_R_rated
Barbershop 2: Back in Business,2004,106,18,5.7,1580,4.5,4.5,4.5,4.5,14.5,24.5,24.5,4.5,4.5,4.5,PG-13,0,0,1,0,0,0,0,Comedy,No,Not_R_rated
Basic,2003,98,50,6.2,8370,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,R,0,0,0,1,0,0,0,Drama,Yes,R_rated
Basil,1998,113,10,6.1,367,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,R,0,0,0,1,0,1,0,Drama,Yes,R_rated
"Basket, The",1999,105,3,6.3,200,4.5,4.5,4.5,4.5,4.5,4.5,14.5,14.5,4.5,34.5,PG,0,0,0,1,0,0,0,Drama,Yes,Not_R_rated
Batman & Robin,1997,125,110,3.6,28457,24.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,4.5,PG-13,1,0,0,0,0,0,0,Action,No,Not_R_rated
Batman Forever,1995,122,100,5.4,24025,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,4.5,PG-13,1,0,0,0,0,1,0,Action,No,Not_R_rated
"Battle of Shaker Heights, The",2003,90,1,6,854,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,14.5,PG-13,0,0,1,1,0,1,0,Comedy,Yes,Not_R_rated
Battlefield Earth: A Saga of the Year 3000,2000,119,73,2.4,14970,45.5,14.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,PG-13,1,0,0,0,0,0,0,Action,No,Not_R_rated
Be Cool,2005,118,53,5.5,4560,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,14.5,PG-13,0,0,1,0,0,0,0,Comedy,No,Not_R_rated
"Beach, The",2000,119,50,5.8,15020,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,R,0,0,0,1,0,0,0,Drama,No,R_rated
Bean,1997,90,22,5.4,9018,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,4.5,4.5,PG-13,0,0,1,0,0,0,0,Comedy,No,Not_R_rated
Beautiful,2000,112,9,5.3,991,4.5,4.5,4.5,4.5,14.5,14.5,14.5,4.5,4.5,4.5,PG-13,0,0,1,1,0,0,0,Comedy,No,Not_R_rated
"Beautiful Country, The",2004,137,6,6.9,115,14.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,24.5,R,0,0,0,1,0,0,0,Drama,Yes,R_rated
"Beautiful Mind, A",2001,135,60,7.8,43291,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,PG-13,0,0,0,1,0,0,0,Drama,Yes,Not_R_rated
Beavis and Butt-Head Do America,1996,81,12,6.2,9491,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,14.5,PG-13,0,1,1,0,0,0,0,Animation,Yes,Not_R_rated
Because of Winn-Dixie,2005,106,14,5.9,483,14.5,4.5,4.5,4.5,4.5,4.5,14.5,14.5,4.5,34.5,PG,0,0,1,1,0,0,0,Comedy,No,Not_R_rated
Bedazzled,2000,93,48,5.9,11439,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,PG-13,0,0,1,0,0,0,0,Comedy,No,Not_R_rated
Before Sunset,2004,80,10,8.3,8789,4.5,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,34.5,R,0,0,0,1,0,1,0,Drama,Yes,R_rated
Behind Enemy Lines,2001,106,40,6.1,10856,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,PG-13,1,0,0,1,0,0,0,Action,Yes,Not_R_rated
